1 6058 -1 19708 -1 0.070538
2 7312 -1 25108 -1 0.095870
3 7487 -1 23817 -1 0.089175
4 7724 -1 24844 -1 0.089860
5 6957 -1 24045 -1 0.089906
6 7662 -1 28276 -1 0.096484
7 7699 -1 26479 -1 0.101144
8 7959 -1 27171 -1 0.099446
9 7613 -1 22934 -1 0.092817
10 7099 -1 25793 -1 0.088558
11 5564 -1 19866 -1 0.074799
12 6156 -1 24116 -1 0.079096
13 7109 -1 20288 -1 0.083772
14 6364 -1 22271 -1 0.081027
15 5740 -1 22502 -1 0.074405
16 6119 -1 19591 -1 0.074630
17 6417 -1 23278 -1 0.082802
18 6653 -1 24854 -1 0.083841
19 7393 -1 26726 -1 0.091925
20 7823 -1 23075 -1 0.087740
21 7470 -1 24497 -1 0.091847
22 7117 -1 24635 -1 0.086790
23 8277 -1 25448 -1 0.103219
24 6777 -1 26071 -1 0.084936
25 6690 -1 24939 -1 0.090227
26 7687 -1 22610 -1 0.089408
27 7590 -1 24731 -1 0.097734
28 6481 -1 27020 -1 0.084045
29 8336 -1 27641 -1 0.100420
30 6469 -1 25906 -1 0.084802
31 6770 -1 24766 -1 0.081674
32 8034 -1 24680 -1 0.097079
33 7508 -1 23716 -1 0.091081
34 9706 -1 29199 -1 0.115535
35 7432 -1 24225 -1 0.085744
36 7888 -1 23075 -1 0.090693
37 7011 -1 23716 -1 0.095674
38 8492 -1 29304 -1 0.104968
39 6832 -1 23483 -1 0.082748
40 8053 -1 23258 -1 0.098139
41 6977 -1 25720 -1 0.089223
42 7806 -1 25945 -1 0.110657
43 6813 -1 23645 -1 0.083207
44 6095 -1 22352 -1 0.078292
45 6365 -1 24093 -1 0.084410
46 5461 -1 18469 -1 0.070410
47 8028 -1 25616 -1 0.097875
48 6504 -1 26297 -1 0.082923
49 7800 -1 24215 -1 0.095071
50 6218 -1 25020 -1 0.079781
51 8283 -1 24903 -1 0.095674
52 6168 -1 22612 -1 0.083453
53 6334 -1 22770 -1 0.076751
54 7344 -1 25839 -1 0.093347
55 7611 -1 27368 -1 0.092857
56 7696 -1 25360 -1 0.098305
57 6105 -1 20251 -1 0.074524
58 4876 -1 21088 -1 0.065854
59 8241 -1 25777 -1 0.102151
60 6525 -1 23648 -1 0.082564
61 6014 -1 22655 -1 0.080774
62 8110 -1 26376 -1 0.096417
63 5305 -1 21000 -1 0.070887
64 5462 -1 21598 -1 0.070789
65 6345 -1 19715 -1 0.081258
66 6574 -1 20009 -1 0.080479
67 6955 -1 22887 -1 0.082219
68 8544 -1 26876 -1 0.111386
69 6861 -1 23757 -1 0.085607
70 7204 -1 23244 -1 0.085862
71 6897 -1 23085 -1 0.087783
72 7000 -1 24628 -1 0.086569
73 6652 -1 23325 -1 0.087363
74 5918 -1 22276 -1 0.076331
75 6658 -1 22409 -1 0.080389
76 8101 -1 23468 -1 0.091504
77 7284 -1 21126 -1 0.086755
78 6860 -1 22604 -1 0.083006
79 6714 -1 25728 -1 0.085375
80 6489 -1 23459 -1 0.094955
81 6850 -1 23817 -1 0.082727
82 7402 -1 26171 -1 0.100034
83 7707 -1 26241 -1 0.095076
84 6924 -1 23072 -1 0.085294
85 7544 -1 22439 -1 0.093079
86 5624 -1 21072 -1 0.072725
87 7682 -1 25759 -1 0.098272
88 7315 -1 25384 -1 0.087977
89 7194 -1 24882 -1 0.092497
90 8877 -1 27321 -1 0.111331
91 6136 -1 22952 -1 0.083131
92 6045 -1 24115 -1 0.078187
93 7387 -1 22663 -1 0.093303
94 7463 -1 21499 -1 0.089508
95 8045 -1 26635 -1 0.104556
96 8316 -1 24652 -1 0.103661
97 6195 -1 24300 -1 0.084604
98 6217 -1 25850 -1 0.091063
99 8979 -1 26303 -1 0.106438
100 7249 -1 25503 -1 0.096331
