1001 20 7544 808 791 172 164 216 184 269 328 731 715 144 59 547 548 486 497 856 855 951 952 977 978 29 83 109 66 61 74 602 581 595 622 660 658 89 71 543 505 586 554
2001 20 7544 951 952 547 548 543 505 586 554 61 74 269 328 731 715 486 497 808 791 856 855 89 71 595 622 660 658 977 978 109 66 216 184 602 581 29 83 144 59 172 164
3001 20 7544 547 548 808 791 595 622 61 74 602 581 216 184 977 978 89 71 586 554 856 855 951 952 172 164 486 497 269 328 109 66 731 715 543 505 660 658 144 59 29 83
4001 20 7544 172 164 547 548 586 554 977 978 269 328 29 83 109 66 660 658 856 855 216 184 951 952 144 59 808 791 602 581 543 505 61 74 486 497 595 622 731 715 89 71
5001 20 7544 595 622 144 59 109 66 586 554 543 505 951 952 29 83 731 715 269 328 89 71 486 497 216 184 547 548 856 855 172 164 808 791 660 658 61 74 977 978 602 581
6001 20 7544 543 505 602 581 89 71 856 855 951 952 486 497 29 83 595 622 808 791 269 328 61 74 731 715 586 554 547 548 144 59 216 184 977 978 172 164 660 658 109 66
7001 20 7544 216 184 543 505 144 59 808 791 602 581 172 164 29 83 586 554 977 978 61 74 731 715 951 952 486 497 660 658 856 855 109 66 547 548 89 71 595 622 269 328
8001 20 7544 808 791 486 497 977 978 595 622 61 74 586 554 547 548 144 59 951 952 731 715 856 855 29 83 602 581 89 71 216 184 543 505 172 164 269 328 660 658 109 66
9001 20 7544 808 791 144 59 109 66 731 715 172 164 951 952 486 497 543 505 602 581 29 83 977 978 547 548 216 184 856 855 89 71 269 328 595 622 586 554 61 74 660 658
10001 20 7544 61 74 660 658 951 952 486 497 856 855 586 554 595 622 109 66 731 715 29 83 808 791 172 164 602 581 216 184 89 71 977 978 144 59 543 505 547 548 269 328
11001 20 7544 977 978 547 548 486 497 543 505 89 71 172 164 216 184 29 83 586 554 595 622 731 715 144 59 109 66 660 658 61 74 808 791 269 328 856 855 951 952 602 581
12001 20 7544 109 66 486 497 543 505 144 59 29 83 951 952 660 658 856 855 808 791 269 328 61 74 172 164 586 554 547 548 731 715 216 184 602 581 977 978 89 71 595 622
13001 20 7544 856 855 595 622 660 658 951 952 731 715 172 164 269 328 977 978 144 59 547 548 602 581 808 791 486 497 109 66 543 505 586 554 61 74 89 71 216 184 29 83
14001 20 7544 89 71 977 978 951 952 543 505 269 328 109 66 660 658 856 855 586 554 808 791 172 164 486 497 61 74 547 548 29 83 731 715 144 59 216 184 602 581 595 622
15001 20 7544 486 497 660 658 29 83 216 184 89 71 172 164 61 74 269 328 856 855 602 581 586 554 144 59 595 622 951 952 977 978 808 791 543 505 731 715 109 66 547 548
16001 20 7544 586 554 547 548 660 658 486 497 29 83 269 328 109 66 61 74 977 978 951 952 144 59 602 581 216 184 808 791 543 505 856 855 731 715 89 71 172 164 595 622
17001 20 7544 856 855 977 978 109 66 595 622 269 328 172 164 144 59 586 554 29 83 547 548 602 581 660 658 543 505 61 74 951 952 808 791 731 715 486 497 89 71 216 184
18001 20 7544 172 164 731 715 29 83 61 74 543 505 486 497 269 328 216 184 144 59 547 548 602 581 89 71 109 66 977 978 808 791 595 622 660 658 856 855 951 952 586 554
19001 20 7544 109 66 61 74 216 184 89 71 29 83 586 554 602 581 172 164 856 855 547 548 731 715 951 952 977 978 660 658 269 328 486 497 543 505 808 791 144 59 595 622
20001 20 7544 543 505 109 66 547 548 731 715 951 952 808 791 586 554 856 855 595 622 61 74 269 328 144 59 216 184 977 978 486 497 660 658 602 581 89 71 29 83 172 164
1002 20 6767 334 284 197 225 297 323 342 315 354 327 59 122 640 661 602 640 350 310 166 239 829 814 30 99 572 576 162 226 32 62 936 936 530 505 702 703 671 649 654 671
2002 20 6767 936 936 166 239 32 62 530 505 829 814 334 284 602 640 354 327 197 225 162 226 654 671 350 310 342 315 30 99 59 122 671 649 702 703 572 576 640 661 297 323
3002 20 6767 354 327 640 661 197 225 297 323 30 99 350 310 342 315 936 936 671 649 162 226 530 505 829 814 59 122 32 62 702 703 166 239 654 671 572 576 334 284 602 640
4002 20 6767 602 640 936 936 640 661 30 99 297 323 354 327 32 62 166 239 829 814 350 310 671 649 59 122 702 703 572 576 162 226 530 505 654 671 342 315 197 225 334 284
5002 20 6767 936 936 640 661 602 640 166 239 334 284 350 310 59 122 162 226 829 814 702 703 32 62 342 315 197 225 297 323 572 576 654 671 530 505 30 99 354 327 671 649
6002 20 6767 30 99 829 814 59 122 602 640 572 576 166 239 671 649 342 315 654 671 702 703 297 323 334 284 354 327 640 661 32 62 350 310 162 226 936 936 197 225 530 505
7002 20 6767 197 225 334 284 297 323 572 576 671 649 354 327 350 310 936 936 30 99 602 640 640 661 829 814 530 505 342 315 32 62 654 671 702 703 59 122 166 239 162 226
8002 20 6767 59 122 197 225 640 661 602 640 30 99 334 284 530 505 342 315 297 323 350 310 354 327 671 649 936 936 572 576 829 814 162 226 654 671 166 239 702 703 32 62
9002 20 6767 602 640 936 936 354 327 334 284 702 703 829 814 30 99 572 576 671 649 32 62 342 315 350 310 654 671 166 239 197 225 530 505 59 122 297 323 640 661 162 226
10002 20 6767 350 310 702 703 162 226 30 99 572 576 671 649 166 239 32 62 334 284 354 327 197 225 654 671 530 505 342 315 59 122 602 640 640 661 829 814 297 323 936 936
11002 20 6767 572 576 334 284 297 323 197 225 30 99 640 661 32 62 829 814 530 505 166 239 936 936 354 327 654 671 350 310 162 226 602 640 342 315 702 703 671 649 59 122
