1001 15 2564 404 47 86 565 55 323 31 710 489 707 108 369 476 771 15 111 298 1042 135 1127 293 150 72 2 301 303 428 571 14 970
2001 15 2564 135 1127 489 707 55 323 404 47 428 571 31 710 298 1042 14 970 15 111 301 303 476 771 86 565 108 369 72 2 293 150
3001 15 2564 135 1127 86 565 301 303 55 323 489 707 404 47 108 369 15 111 428 571 298 1042 476 771 31 710 72 2 14 970 293 150
4001 15 2564 31 710 476 771 428 571 108 369 135 1127 404 47 489 707 293 150 55 323 86 565 298 1042 301 303 15 111 72 2 14 970
5001 15 2564 428 571 55 323 86 565 293 150 489 707 301 303 14 970 15 111 72 2 31 710 135 1127 404 47 298 1042 108 369 476 771
1002 15 2484 235 913 45 1000 257 825 167 162 336 212 351 633 286 685 15 1065 468 650 305 112 100 607 201 679 149 863 175 236 16 821
2002 15 2484 468 650 16 821 100 607 45 1000 167 162 15 1065 201 679 175 236 286 685 351 633 257 825 235 913 336 212 305 112 149 863
3002 15 2484 286 685 16 821 201 679 45 1000 100 607 235 913 15 1065 336 212 175 236 257 825 351 633 149 863 305 112 167 162 468 650
4002 15 2484 149 863 336 212 305 112 201 679 286 685 175 236 45 1000 167 162 235 913 100 607 16 821 257 825 15 1065 468 650 351 633
5002 15 2484 16 821 257 825 235 913 468 650 336 212 149 863 305 112 45 1000 15 1065 286 685 351 633 167 162 100 607 175 236 201 679
1003 15 3783 395 208 147 818 417 1036 118 246 149 1068 469 74 315 1192 478 267 439 662 338 427 294 1078 489 800 371 203 275 1179 35 442
2003 15 3783 35 442 315 1192 371 203 469 74 118 246 489 800 338 427 147 818 395 208 417 1036 149 1068 439 662 294 1078 478 267 275 1179
3003 15 3783 338 427 149 1068 315 1192 275 1179 469 74 147 818 489 800 439 662 478 267 395 208 417 1036 371 203 294 1078 118 246 35 442
4003 15 3783 275 1179 395 208 478 267 469 74 294 1078 338 427 439 662 35 442 118 246 489 800 417 1036 149 1068 315 1192 147 818 371 203
5003 15 3783 118 246 469 74 338 427 35 442 478 267 149 1068 395 208 147 818 489 800 294 1078 371 203 417 1036 275 1179 315 1192 439 662
1004 15 3028 417 248 214 740 481 597 325 792 407 58 227 977 36 338 154 885 124 108 376 864 224 929 108 1189 34 432 354 876 304 929
2004 15 3028 224 929 108 1189 376 864 325 792 124 108 304 929 407 58 154 885 34 432 214 740 481 597 227 977 36 338 354 876 417 248
3004 15 3028 481 597 108 1189 354 876 224 929 214 740 417 248 34 432 36 338 154 885 304 929 227 977 325 792 376 864 407 58 124 108
4004 15 3028 154 885 304 929 376 864 227 977 34 432 481 597 36 338 325 792 214 740 124 108 108 1189 224 929 407 58 417 248 354 876
5004 15 3028 214 740 481 597 224 929 407 58 124 108 154 885 34 432 36 338 325 792 354 876 108 1189 417 248 304 929 376 864 227 977
1005 15 2916 24 402 286 381 310 438 69 589 54 412 347 975 69 678 453 395 341 1023 88 960 233 1084 361 673 166 248 370 127 475 833
2005 15 2916 69 678 69 589 347 975 310 438 453 395 88 960 341 1023 233 1084 475 833 54 412 370 127 166 248 361 673 24 402 286 381
3005 15 2916 69 589 24 402 341 1023 370 127 286 381 69 678 233 1084 347 975 310 438 166 248 88 960 54 412 361 673 453 395 475 833
4005 15 2916 347 975 286 381 361 673 69 589 88 960 24 402 453 395 69 678 475 833 54 412 370 127 166 248 310 438 233 1084 341 1023
5005 15 2916 475 833 24 402 453 395 54 412 361 673 69 589 166 248 347 975 370 127 310 438 88 960 341 1023 286 381 233 1084 69 678
1006 15 3525 385 968 322 490 131 1166 366 85 464 1158 104 252 420 285 258 546 472 1207 190 994 288 1001 309 605 252 391 336 798 110 125
2006 15 3525 258 546 385 968 336 798 131 1166 104 252 110 125 252 391 288 1001 366 85 420 285 190 994 322 490 309 605 472 1207 464 1158
3006 15 3525 104 252 252 391 110 125 464 1158 472 1207 131 1166 309 605 190 994 288 1001 366 85 420 285 322 490 258 546 385 968 336 798
4006 15 3525 252 391 288 1001 258 546 385 968 190 994 366 85 131 1166 464 1158 322 490 472 1207 336 798 110 125 420 285 309 605 104 252
5006 15 3525 190 994 258 546 464 1158 104 252 288 1001 336 798 131 1166 472 1207 420 285 110 125 252 391 385 968 309 605 366 85 322 490
1007 15 2784 277 230 452 697 444 989 81 943 134 477 388 966 398 756 81 785 69 1108 387 1132 130 515 33 124 238 235 48 1083 320 511
2007 15 2784 48 1083 388 966 452 697 320 511 81 785 69 1108 398 756 134 477 81 943 238 235 277 230 387 1132 444 989 130 515 33 124
3007 15 2784 452 697 81 785 238 235 33 124 130 515 69 1108 81 943 388 966 398 756 48 1083 277 230 444 989 320 511 134 477 387 1132
4007 15 2784 69 1108 48 1083 238 235 81 943 33 124 320 511 134 477 387 1132 388 966 277 230 81 785 398 756 130 515 444 989 452 697
5007 15 2784 320 511 33 124 48 1083 81 785 69 1108 452 697 277 230 130 515 388 966 81 943 387 1132 238 235 134 477 444 989 398 756
1008 15 2992 318 808 323 660 200 961 32 479 317 865 218 844 66 917 63 797 398 354 238 1089 460 290 385 733 22 1112 227 330 474 332
2008 15 2992 218 844 323 660 474 332 460 290 318 808 22 1112 385 733 398 354 317 865 200 961 238 1089 63 797 227 330 66 917 32 479
3008 15 2992 227 330 398 354 317 865 22 1112 323 660 218 844 460 290 474 332 318 808 385 733 32 479 238 1089 66 917 63 797 200 961
4008 15 2992 317 865 385 733 474 332 323 660 63 797 238 1089 200 961 32 479 227 330 460 290 218 844 398 354 22 1112 318 808 66 917
5008 15 2992 32 479 218 844 323 660 398 354 22 1112 385 733 317 865 66 917 460 290 238 1089 474 332 318 808 63 797 227 330 200 961
1009 15 2994 84 723 490 939 405 822 321 1066 57 748 293 386 330 213 236 469 215 426 349 1032 251 1079 288 721 162 70 141 1062 121 429
2009 15 2994 330 213 288 721 321 1066 162 70 236 469 405 822 121 429 293 386 57 748 84 723 141 1062 490 939 349 1032 251 1079 215 426
3009 15 2994 349 1032 330 213 293 386 321 1066 405 822 57 748 288 721 141 1062 215 426 251 1079 490 939 162 70 236 469 121 429 84 723
4009 15 2994 215 426 121 429 405 822 84 723 57 748 321 1066 330 213 141 1062 288 721 349 1032 236 469 293 386 162 70 251 1079 490 939
5009 15 2994 251 1079 321 1066 121 429 293 386 57 748 349 1032 490 939 330 213 215 426 162 70 236 469 84 723 288 721 141 1062 405 822
1010 15 3296 490 572 232 278 204 306 252 1213 259 497 496 231 113 374 93 290 353 331 277 528 456 1094 472 93 109 971 217 1180 97 1237
2010 15 3296 472 93 252 1213 259 497 456 1094 353 331 109 971 97 1237 204 306 232 278 93 290 496 231 490 572 217 1180 277 528 113 374
3010 15 3296 472 93 217 1180 204 306 259 497 113 374 97 1237 490 572 456 1094 277 528 353 331 109 971 93 290 252 1213 232 278 496 231
4010 15 3296 490 572 113 374 109 971 232 278 252 1213 496 231 204 306 472 93 259 497 456 1094 277 528 217 1180 353 331 97 1237 93 290
5010 15 3296 496 231 456 1094 109 971 259 497 97 1237 232 278 252 1213 217 1180 490 572 113 374 353 331 93 290 204 306 472 93 277 528
1011 15 3228 280 415 463 442 413 473 160 829 459 1074 83 100 92 887 351 121 316 674 151 483 404 130 421 574 5 84 181 667 256 351
2011 15 3228 92 887 413 473 404 130 151 483 316 674 351 121 256 351 421 574 459 1074 181 667 83 100 463 442 280 415 160 829 5 84
3011 15 3228 421 574 151 483 280 415 181 667 316 674 5 84 463 442 256 351 351 121 459 1074 83 100 160 829 404 130 413 473 92 887
4011 15 3228 5 84 351 121 92 887 463 442 316 674 83 100 256 351 151 483 413 473 160 829 459 1074 421 574 181 667 404 130 280 415
5011 15 3228 5 84 404 130 413 473 351 121 421 574 280 415 463 442 459 1074 256 351 92 887 83 100 316 674 151 483 181 667 160 829
1012 15 3493 245 1001 225 987 79 368 393 209 240 65 412 88 405 1027 495 888 224 789 265 254 227 1072 42 155 423 148 491 360 201 584
2012 15 3493 245 1001 42 155 265 254 201 584 423 148 240 65 224 789 79 368 225 987 495 888 491 360 412 88 393 209 227 1072 405 1027
3012 15 3493 225 987 42 155 224 789 201 584 495 888 240 65 227 1072 491 360 79 368 393 209 423 148 265 254 412 88 245 1001 405 1027
