1001 18 6672 808 38 172 452 109 259 856 457 547 514 216 295 29 89 660 470 595 834 951 617 61 568 586 120 144 2 269 901 602 242 977 566 28 776 731 200
2001 18 6672 61 568 977 566 951 617 660 470 28 776 731 200 269 901 216 295 29 89 109 259 808 38 586 120 547 514 172 452 144 2 602 242 595 834 856 457
3001 18 6672 172 452 28 776 109 259 547 514 731 200 808 38 660 470 216 295 602 242 29 89 144 2 61 568 595 834 586 120 269 901 856 457 951 617 977 566
4001 18 6672 808 38 547 514 109 259 856 457 586 120 216 295 595 834 731 200 61 568 144 2 269 901 977 566 28 776 951 617 29 89 602 242 172 452 660 470
5001 18 6672 29 89 602 242 856 457 61 568 109 259 951 617 808 38 586 120 172 452 216 295 977 566 28 776 731 200 595 834 547 514 660 470 144 2 269 901
6001 18 6672 144 2 28 776 269 901 856 457 808 38 731 200 29 89 951 617 109 259 977 566 602 242 61 568 547 514 660 470 586 120 172 452 595 834 216 295
7001 18 6672 808 38 547 514 28 776 660 470 856 457 109 259 951 617 216 295 269 901 586 120 172 452 977 566 595 834 731 200 144 2 602 242 29 89 61 568
8001 18 6672 144 2 547 514 586 120 808 38 951 617 856 457 595 834 660 470 602 242 731 200 29 89 172 452 269 901 216 295 28 776 977 566 109 259 61 568
9001 18 6672 109 259 595 834 951 617 28 776 856 457 731 200 660 470 269 901 216 295 172 452 977 566 144 2 586 120 602 242 61 568 547 514 29 89 808 38
10001 18 6672 731 200 808 38 216 295 61 568 269 901 660 470 602 242 144 2 977 566 595 834 28 776 109 259 172 452 586 120 29 89 951 617 856 457 547 514
11001 18 6672 109 259 547 514 808 38 602 242 61 568 172 452 951 617 269 901 144 2 977 566 28 776 856 457 586 120 731 200 595 834 29 89 216 295 660 470
12001 18 6672 731 200 602 242 216 295 595 834 808 38 951 617 61 568 547 514 586 120 109 259 856 457 144 2 269 901 977 566 172 452 29 89 660 470 28 776
13001 18 6672 808 38 547 514 660 470 172 452 29 89 269 901 61 568 586 120 951 617 856 457 28 776 595 834 216 295 602 242 977 566 144 2 109 259 731 200
14001 18 6672 586 120 977 566 29 89 602 242 547 514 216 295 61 568 595 834 731 200 808 38 28 776 144 2 660 470 269 901 951 617 856 457 109 259 172 452
15001 18 6672 660 470 977 566 109 259 586 120 144 2 29 89 731 200 269 901 951 617 216 295 602 242 547 514 856 457 595 834 808 38 61 568 172 452 28 776
16001 18 6672 547 514 29 89 269 901 144 2 856 457 660 470 172 452 28 776 61 568 808 38 731 200 951 617 595 834 602 242 109 259 586 120 977 566 216 295
17001 18 6672 28 776 172 452 29 89 586 120 269 901 595 834 216 295 808 38 856 457 144 2 660 470 109 259 951 617 547 514 61 568 731 200 977 566 602 242
18001 18 6672 602 242 269 901 977 566 29 89 109 259 660 470 856 457 144 2 595 834 172 452 547 514 951 617 61 568 28 776 808 38 216 295 586 120 731 200
19001 18 6672 109 259 731 200 29 89 586 120 595 834 28 776 977 566 856 457 172 452 602 242 61 568 660 470 144 2 951 617 808 38 269 901 216 295 547 514
20001 18 6672 28 776 269 901 172 452 144 2 660 470 731 200 595 834 547 514 977 566 602 242 61 568 216 295 586 120 109 259 951 617 29 89 856 457 808 38
1002 18 6139 297 690 30 852 602 978 32 657 401 543 350 189 610 89 354 294 572 548 640 790 829 70 702 506 89 800 936 520 166 937 671 170 334 130 59 833
2002 18 6139 166 937 602 978 640 790 32 657 671 170 401 543 829 70 89 800 354 294 334 130 30 852 702 506 59 833 610 89 350 189 572 548 297 690 936 520
3002 18 6139 89 800 401 543 602 978 354 294 32 657 30 852 671 170 936 520 297 690 166 937 572 548 350 189 610 89 59 833 702 506 640 790 829 70 334 130
4002 18 6139 602 978 354 294 572 548 640 790 829 70 166 937 350 189 671 170 401 543 610 89 297 690 32 657 702 506 936 520 30 852 89 800 59 833 334 130
5002 18 6139 671 170 334 130 350 189 32 657 166 937 401 543 936 520 640 790 297 690 59 833 572 548 354 294 30 852 602 978 610 89 702 506 89 800 829 70
6002 18 6139 671 170 30 852 350 189 89 800 640 790 297 690 59 833 572 548 610 89 829 70 334 130 166 937 936 520 401 543 702 506 602 978 32 657 354 294
7002 18 6139 354 294 334 130 936 520 572 548 671 170 89 800 297 690 30 852 401 543 640 790 32 657 166 937 610 89 829 70 702 506 602 978 59 833 350 189
8002 18 6139 671 170 350 189 30 852 401 543 610 89 89 800 640 790 297 690 602 978 59 833 334 130 32 657 829 70 354 294 166 937 936 520 702 506 572 548
9002 18 6139 640 790 89 800 350 189 829 70 30 852 572 548 334 130 166 937 602 978 32 657 354 294 702 506 671 170 297 690 610 89 401 543 59 833 936 520
10002 18 6139 829 70 59 833 354 294 350 189 30 852 334 130 671 170 610 89 401 543 89 800 166 937 297 690 572 548 936 520 32 657 602 978 702 506 640 790
11002 18 6139 166 937 350 189 572 548 702 506 59 833 297 690 829 70 671 170 30 852 936 520 32 657 354 294 89 800 401 543 334 130 602 978 610 89 640 790
12002 18 6139 354 294 602 978 640 790 166 937 610 89 671 170 401 543 702 506 936 520 59 833 350 189 572 548 334 130 89 800 297 690 30 852 829 70 32 657
13002 18 6139 350 189 572 548 59 833 334 130 671 170 89 800 30 852 610 89 640 790 32 657 602 978 166 937 702 506 401 543 297 690 829 70 936 520 354 294
14002 18 6139 640 790 334 130 350 189 89 800 602 978 30 852 702 506 401 543 671 170 59 833 610 89 354 294 297 690 829 70 166 937 32 657 572 548 936 520
